,face_id,frame_id,domain_emotion,angry,disgust,scared,happy,sad,surprised,neutral
224,1,224,neutral,0.11635316908359528,0.006586380768567324,0.017189066857099533,0.3327978551387787,0.1378021389245987,0.013057527132332325,0.37621381878852844
226,1,226,happy,0.24320723116397858,0.007819907739758492,0.048154838383197784,0.38323259353637695,0.11209546774625778,0.006571309641003609,0.19891861081123352
228,1,228,angry,0.3898549973964691,0.03409066051244736,0.09567461162805557,0.28084418177604675,0.1147816851735115,0.0064796158112585545,0.07827425748109818
230,1,230,happy,0.016128862276673317,0.00015510516823269427,0.009201832115650177,0.9429944753646851,0.013757036067545414,0.009789220057427883,0.007973561994731426
232,1,232,happy,0.0007356932037509978,0.00031364706228487194,0.004351686220616102,0.9792391657829285,0.007055798079818487,0.002282478613778949,0.006021507084369659
234,1,234,happy,0.007915171794593334,0.007065393961966038,0.022581836208701134,0.8607563972473145,0.05017393082380295,0.0018323144176974893,0.049675025045871735
236,1,236,happy,0.014592323452234268,0.0032904462423175573,0.05082477256655693,0.6764057278633118,0.09667320549488068,0.011909282766282558,0.14630427956581116
238,1,238,happy,0.03985417261719704,0.0015973299741744995,0.0506376214325428,0.7074728012084961,0.08820482343435287,0.02873285487294197,0.08350030332803726
240,1,240,happy,0.019475305452942848,0.034113217145204544,0.09707023203372955,0.535675585269928,0.1699613332748413,0.017534393817186356,0.12616990506649017
242,1,242,happy,0.032525915652513504,0.166060209274292,0.09470648318529129,0.31820163130760193,0.1442674696445465,0.009954479523003101,0.23428380489349365
244,1,244,happy,0.022219698876142502,0.11421883851289749,0.08760909736156464,0.3637620210647583,0.19141677021980286,0.010566584765911102,0.21020695567131042
246,1,246,happy,0.009350422769784927,0.008936388418078423,0.06262309849262238,0.7232879400253296,0.07671094685792923,0.04281911253929138,0.07627216726541519
248,1,248,happy,0.010979943908751011,0.014074460603296757,0.05466694012284279,0.749774694442749,0.07209645956754684,0.026017263531684875,0.07239025086164474
250,1,250,happy,0.0034033299889415503,0.007851414382457733,0.03185969218611717,0.8928919434547424,0.015974583104252815,0.023746725171804428,0.024272330105304718
252,1,252,happy,0.0023614445235580206,0.007247456349432468,0.02896813116967678,0.8863512277603149,0.01999819651246071,0.019231077283620834,0.035842448472976685
254,1,254,happy,0.004289558157324791,0.0028425930067896843,0.011551362462341785,0.9499595165252686,0.01062572281807661,0.0024132709950208664,0.01831803470849991
256,1,256,happy,0.002824499737471342,0.0025025552604347467,0.004747575614601374,0.9647420644760132,0.005968427751213312,0.001777024008333683,0.017437780275940895
258,1,258,happy,0.009151577018201351,0.002567244926467538,0.008352575823664665,0.9486808776855469,0.010014553554356098,0.003066357923671603,0.018166806548833847
260,1,260,happy,0.009388525038957596,0.002157174749299884,0.030732732266187668,0.813104510307312,0.05212673172354698,0.006019972264766693,0.08647041022777557
262,1,262,happy,0.02019171044230461,0.003346296725794673,0.10733091086149216,0.41573673486709595,0.19893623888492584,0.0030348394066095352,0.25142326951026917
264,1,264,neutral,0.013169141486287117,0.01165712345391512,0.09819693863391876,0.19563817977905273,0.12147579342126846,0.0022508855909109116,0.5576120018959045
266,1,266,neutral,0.0069434866309165955,0.0036259840708225965,0.06047499179840088,0.1197095736861229,0.07948146760463715,0.0008576125837862492,0.7289068102836609
268,1,268,neutral,0.01691027730703354,0.002409113571047783,0.15354277193546295,0.06309839338064194,0.10764645785093307,0.001250628149136901,0.6551423668861389
270,1,270,neutral,0.01661408133804798,0.0003824641462415457,0.08581800013780594,0.015296735800802708,0.0398581437766552,0.0014202070888131857,0.8406103849411011
272,1,272,neutral,0.020727401599287987,0.000357017939677462,0.14921949803829193,0.010639484971761703,0.0505358912050724,0.00199830811470747,0.7665224075317383
274,1,274,neutral,0.036425426602363586,0.0021473951637744904,0.27614498138427734,0.1460314244031906,0.13116225600242615,0.00487868906930089,0.40320974588394165
276,1,276,neutral,0.04910489171743393,0.0024781872052699327,0.308077871799469,0.15254728496074677,0.1288483887910843,0.0067883743904531,0.352154940366745
278,1,278,neutral,0.0404779314994812,0.006786285433918238,0.24810700118541718,0.1641857922077179,0.19137640297412872,0.013797455467283726,0.3352690637111664
280,1,280,scared,0.05534849688410759,0.010264982469379902,0.34432607889175415,0.06680559366941452,0.25082215666770935,0.0077541363425552845,0.2646785378456116
282,1,282,neutral,0.017231106758117676,0.006828253157436848,0.09399672597646713,0.24348419904708862,0.11144135147333145,0.014083482325077057,0.5129348635673523
284,1,284,neutral,0.014959054999053478,0.0011270333779975772,0.21992990374565125,0.16619347035884857,0.08295739442110062,0.00672672176733613,0.5081064701080322
286,1,286,neutral,0.013915792107582092,0.002320895902812481,0.10593418776988983,0.3469264805316925,0.07516349852085114,0.003734057303518057,0.4520050585269928
288,1,288,happy,0.01660466007888317,0.003970743156969547,0.08886478841304779,0.45555633306503296,0.054621823132038116,0.00611811364069581,0.3742635250091553
290,1,290,happy,0.018800798803567886,0.00489377323538065,0.08945818245410919,0.49070364236831665,0.05742107704281807,0.034285739064216614,0.3044368624687195
292,1,292,neutral,0.05163588002324104,0.03474598750472069,0.14446845650672913,0.11588910222053528,0.21871863305568695,0.003714473219588399,0.4308274984359741
294,1,294,neutral,0.03226827085018158,0.024155758321285248,0.09863659739494324,0.17383374273777008,0.14236865937709808,0.0028314278461039066,0.5259055495262146
296,1,296,neutral,0.04792793095111847,0.025922495871782303,0.18725110590457916,0.10472337901592255,0.0939628854393959,0.012143933214247227,0.5280682444572449
298,1,298,neutral,0.0926206111907959,0.07253872603178024,0.21142986416816711,0.032500140368938446,0.1491338014602661,0.017415499314665794,0.4243614077568054
300,1,300,neutral,0.08255941420793533,0.017091598361730576,0.29655131697654724,0.01699921302497387,0.1482362151145935,0.008582101203501225,0.42998018860816956
302,1,302,neutral,0.06385777145624161,0.009987851604819298,0.3013370931148529,0.09278073906898499,0.058668315410614014,0.016980821266770363,0.45638737082481384
304,1,304,neutral,0.03201000764966011,0.06768079847097397,0.16821201145648956,0.053136780858039856,0.16769887506961823,0.0032891989685595036,0.5079723596572876
306,1,306,neutral,0.06437943875789642,0.016794566065073013,0.17452286183834076,0.11289781332015991,0.17718668282032013,0.008042738772928715,0.44617587327957153
308,1,308,neutral,0.04651733487844467,0.0022987262345850468,0.107734814286232,0.13060362637043,0.12408342212438583,0.0060381703078746796,0.5827239155769348
310,1,310,neutral,0.022799989208579063,0.003248517168685794,0.11049019545316696,0.09277144819498062,0.1285696178674698,0.003990780562162399,0.6381295323371887
312,1,312,neutral,0.03821774944663048,0.002916038269177079,0.15327639877796173,0.09759072214365005,0.0690898448228836,0.007874286733567715,0.6310349106788635
314,1,314,neutral,0.027914533391594887,0.00610105087980628,0.09242570400238037,0.16253764927387238,0.058736108243465424,0.006999306380748749,0.6452856063842773
316,1,316,neutral,0.03144456073641777,0.0005630861269310117,0.0791383609175682,0.24952757358551025,0.07827381044626236,0.0039191050454974174,0.5571335554122925
318,1,318,neutral,0.07420668751001358,0.00993606448173523,0.08783955127000809,0.30681759119033813,0.03626161813735962,0.03365250676870346,0.4512859582901001
320,1,320,neutral,0.08387649804353714,0.010720615275204182,0.18222366273403168,0.0933656245470047,0.11350764334201813,0.010890147648751736,0.5054157972335815
322,1,322,neutral,0.09407036751508713,0.0013670959742739797,0.11668023467063904,0.008018594235181808,0.08066896349191666,0.0017853013705462217,0.697409451007843
324,1,324,neutral,0.039361484348773956,0.0009372488129884005,0.06396030634641647,0.02100813388824463,0.07122158259153366,0.00092672323808074,0.8025844693183899
326,1,326,neutral,0.03284696117043495,0.0004095192707609385,0.13900436460971832,0.013127483427524567,0.150316059589386,0.004228552337735891,0.660067081451416
328,1,328,neutral,0.01312289573252201,8.769546548137441e-05,0.11228635162115097,0.01863563247025013,0.1083097979426384,0.0034547739196568727,0.7441027760505676
330,1,330,neutral,0.015171992592513561,0.00014270597603172064,0.07077568024396896,0.009075503796339035,0.18207894265651703,0.0017223323229700327,0.7210329174995422
332,1,332,neutral,0.013683384284377098,0.0002673235721886158,0.09654916822910309,0.01138840988278389,0.1840548813343048,0.010404469445347786,0.6836523413658142
334,1,334,neutral,0.02405937947332859,0.0003064989286940545,0.09377333521842957,0.008365178480744362,0.15513399243354797,0.016529230400919914,0.7018323540687561
336,1,336,neutral,0.048281148076057434,0.0041603767313063145,0.18816344439983368,0.04796617850661278,0.2853225767612457,0.0047438559122383595,0.42136234045028687
338,1,338,neutral,0.03132648393511772,0.00030186239746399224,0.07132919877767563,0.058889105916023254,0.06156618893146515,0.00785593781620264,0.7687312960624695
